Z,TotPer_P,TotPer_A,HBW_P,HBW_A,HBShp_P,HBShp_A,HBOth_P,HBOth_A,HBSch_PR_P,HBSch_PR_A,HBSch_SC_P,HBSch_SC_A,HH_NHBW_P,NHBW_P,NHBW_A,HH_NHBNW_P,NHBNW_P,NHBNW_A,TotExt_P,TotExt_A,IX_P,IX_A,XI_P,XI_A,SH_Truck_P,SH_Truck_A,LT_P,LT_A,MD_P,MD_A,HV_P,HV_A,LT_Peop_p,LT_Peop_a,MD_Peop_p,MD_Peop_a,LT_Good_p,LT_Good_a,MD_Good_p,MD_Good_a,HV_Good_p,HV_Good_a,LT_Serv_p,LT_Serv_a,MD_Serv_p,MD_Serv_a,HV_Serv_p,HV_Serv_a,IX_MDp,IX_MDa,IX_HVp,IX_HVa,XI_MDp,XI_MDa,XI_HVp,XI_HVa
  1310,     10152.2,      3577.6,      2163.3,        79.0,      1159.0,        10.0,      5118.6,      2777.8,       529.7,           0,       470.7,           0,       988.0,       176.5,       176.5,      2092.7,       534.5,       534.5,       107.6,        36.0,       107.6,           0,           0,        36.0,      1330.8,      1330.8,       722.8,       722.8,       465.0,       465.0,       142.9,       142.9,           0,           0,           0,           0,       722.8,       722.8,       465.0,       465.0,       142.9,       142.9,           0,           0,           0,           0,           0,           0,         7.2,           0,         4.1,           0,           0,         9.9,           0,         6.1
  1311,      7466.1,      3423.2,      1684.7,       159.2,       862.0,       128.1,      3522.7,      2351.0,       323.9,           0,       287.8,           0,       774.9,       211.1,       211.1,      1498.3,       573.8,       573.8,        78.1,        35.0,        78.1,           0,           0,        35.0,      1152.6,      1152.6,       621.2,       621.2,       403.8,       403.8,       127.6,       127.6,           0,           0,           0,           0,       621.2,       621.2,       403.8,       403.8,       127.6,       127.6,           0,           0,           0,           0,           0,           0,         6.2,           0,         3.6,           0,           0,         8.6,           0,         5.4
  1312,     10403.4,      5451.0,      2401.6,       249.8,      1192.8,       176.0,      4914.4,      3331.3,       449.3,       647.9,       399.3,           0,      1101.2,       273.1,       273.1,      2076.8,       772.8,       772.8,       109.6,        49.1,       109.6,           0,           0,        49.1,      1574.6,      1574.6,       849.6,       849.6,       551.5,       551.5,       173.6,       173.6,           0,           0,           0,           0,       849.6,       849.6,       551.5,       551.5,       173.6,       173.6,           0,           0,           0,           0,           0,           0,         8.5,           0,         5.0,           0,           0,        11.7,           0,         7.4
  1313,         8.9,        39.9,           0,        25.3,           0,           0,           0,         5.7,           0,           0,           0,           0,           0,         7.1,         7.1,           0,         1.8,         1.8,           0,         0.5,           0,           0,           0,         0.5,         7.6,         7.6,         3.5,         3.5,         2.8,         2.8,         1.3,         1.3,           0,           0,           0,           0,         3.5,         3.5,         2.8,         2.8,         1.3,         1.3,           0,           0,           0,           0,           0,           0,         0.0,           0,         0.0,           0,           0,         0.1,           0,         0.1
  1314,      7177.2,      4598.7,      1497.8,       255.7,       755.1,       327.6,      3281.2,      2073.6,       348.6,       957.0,       309.8,           0,       681.0,       288.8,       288.8,      1342.9,       696.0,       696.0,        70.8,        38.0,        70.8,           0,           0,        38.0,       996.3,       996.3,       531.6,       531.6,       350.3,       350.3,       114.4,       114.4,           0,           0,           0,           0,       531.6,       531.6,       350.3,       350.3,       114.4,       114.4,           0,           0,           0,           0,           0,           0,         5.4,           0,         3.3,           0,           0,         7.4,           0,         4.9
  1315,      4785.3,      6069.6,       529.1,       864.0,       279.0,      1700.4,      1288.0,      1075.4,       137.3,           0,       122.1,           0,       240.0,       705.8,       705.8,       507.2,      1724.1,      1724.1,        26.6,        67.5,        26.6,           0,           0,        67.5,       809.2,       809.2,       400.6,       400.6,       291.5,       291.5,       117.1,       117.1,           0,           0,           0,           0,       400.6,       400.6,       291.5,       291.5,       117.1,       117.1,           0,           0,           0,           0,           0,           0,         4.5,           0,         3.3,           0,           0,         6.2,           0,         5.0
  1316,     12547.5,      8899.4,      2424.4,       615.1,      1300.8,       608.1,      5930.9,      3708.6,       645.9,       666.9,       574.1,      1629.3,      1104.4,       462.3,       462.3,      2355.9,      1209.0,      1209.0,       122.5,        69.2,       122.5,           0,           0,        69.2,      1773.6,      1773.6,       939.3,       939.3,       625.1,       625.1,       209.1,       209.1,           0,           0,           0,           0,       939.3,       939.3,       625.1,       625.1,       209.1,       209.1,           0,           0,           0,           0,           0,           0,         9.7,           0,         6.0,           0,           0,        13.3,           0,         8.9
  1317,       922.0,       692.5,       179.4,       115.9,        92.1,        91.3,       383.6,       291.9,        38.9,           0,        34.6,           0,        82.0,        59.3,        59.3,       162.1,       134.1,       134.1,         8.4,         7.5,         8.4,           0,           0,         7.5,       160.4,       160.4,        83.2,        83.2,        56.9,        56.9,        20.3,        20.3,           0,           0,           0,           0,        83.2,        83.2,        56.9,        56.9,        20.3,        20.3,           0,           0,           0,           0,           0,           0,         0.9,           0,         0.6,           0,           0,         1.2,           0,         0.9
  1318,      3875.3,      1255.0,       827.1,        12.3,       434.9,           0,      1968.6,       995.6,       210.5,           0,       187.1,           0,       375.5,        59.2,        59.2,       785.6,       188.0,       188.0,        41.0,        12.6,        41.0,           0,           0,        12.6,       476.1,       476.1,       259.0,       259.0,       166.3,       166.3,        50.8,        50.8,           0,           0,           0,           0,       259.0,       259.0,       166.3,       166.3,        50.8,        50.8,           0,           0,           0,           0,           0,           0,         2.6,           0,         1.5,           0,           0,         3.5,           0,         2.2
  1319,        43.1,       221.0,           0,       167.4,           0,           0,           0,        10.4,           0,           0,           0,           0,           0,        36.4,        36.4,           0,         6.7,         6.7,           0,         2.7,           0,           0,           0,         2.7,        92.0,        92.0,        42.9,        42.9,        33.8,        33.8,        15.4,        15.4,           0,           0,           0,           0,        42.9,        42.9,        33.8,        33.8,        15.4,        15.4,           0,           0,           0,           0,           0,           0,         0.5,           0,         0.4,           0,           0,         0.7,           0,         0.7
