Z,TotPer_P,TotPer_A,HBW_P,HBW_A,HBShp_P,HBShp_A,HBOth_P,HBOth_A,HBSch_PR_P,HBSch_PR_A,HBSch_SC_P,HBSch_SC_A,HH_NHBW_P,NHBW_P,NHBW_A,HH_NHBNW_P,NHBNW_P,NHBNW_A,TotExt_P,TotExt_A,IX_P,IX_A,XI_P,XI_A,SH_Truck_P,SH_Truck_A,LT_P,LT_A,MD_P,MD_A,HV_P,HV_A,LT_Peop_p,LT_Peop_a,MD_Peop_p,MD_Peop_a,LT_Good_p,LT_Good_a,MD_Good_p,MD_Good_a,HV_Good_p,HV_Good_a,LT_Serv_p,LT_Serv_a,MD_Serv_p,MD_Serv_a,HV_Serv_p,HV_Serv_a,IX_MDp,IX_MDa,IX_HVp,IX_HVa,XI_MDp,XI_MDa,XI_HVp,XI_HVa
28,39.2,103.7,4.9,69.8,2.8,0,9.7,13.4,0.7,0,0.6,0,2.7,15.9,15.9,5.1,4.6,4.6,1.4,10.7,1.4,0,0,10.7,99.3,99.3,53.9,53.9,30.7,30.7,14.8,14.8,0,0,0,0,53.9,53.9,30.7,30.7,14.8,14.8,0,0,0,0,0,0,0.5,0,0.4,0,0,0.6,0,0.6
29,1204.2,538.8,229.3,15.6,151.4,0,595.9,417.3,64.5,0,57.3,0,124.9,27,27,262.2,78.9,78.9,70,46.6,70,0,0,46.6,453.1,453.1,276.7,276.7,131.9,131.9,44.4,44.4,0,0,0,0,276.7,276.7,131.9,131.9,44.4,44.4,0,0,0,0,0,0,2,0,1.3,0,0,2.8,0,1.9
30,2485,1487,454.3,126.5,315.2,47.6,1181.5,991.4,112.6,0,100,0,249.6,87.7,87.7,539.1,233.8,233.8,140,131.8,140,0,0,131.8,1123.7,1123.7,677.3,677.3,329.6,329.6,116.9,116.9,0,0,0,0,677.3,677.3,329.6,329.6,116.9,116.9,0,0,0,0,0,0,5.1,0,3.3,0,0,7,0,5
31,1734.6,1527.3,269.3,220,188,205.3,686.8,626.3,60.8,0,54,0,148.4,158.5,158.5,320.8,317.2,317.2,82.6,141.7,82.6,0,0,141.7,874.1,874.1,513.9,513.9,259.7,259.7,100.5,100.5,0,0,0,0,513.9,513.9,259.7,259.7,100.5,100.5,0,0,0,0,0,0,4,0,2.9,0,0,5.5,0,4.3
32,1004.9,405.9,171.3,11.6,124.2,0,513.7,314.4,61.3,0,54.5,0,93.3,20.4,20.4,219.8,59.5,59.5,55.7,35.1,55.7,0,0,35.1,341.8,341.8,208.7,208.7,99.5,99.5,33.5,33.5,0,0,0,0,208.7,208.7,99.5,99.5,33.5,33.5,0,0,0,0,0,0,1.5,0,1,0,0,2.1,0,1.4
33,1441.8,527.8,226.6,22.2,173.9,0,754.1,400.7,96.5,0,85.8,0,123.1,28.7,28.7,312.5,76.3,76.3,77.1,45.9,77.1,0,0,45.9,443.3,443.3,270,270,129.3,129.3,44,44,0,0,0,0,270,270,129.3,129.3,44,44,0,0,0,0,0,0,2,0,1.3,0,0,2.7,0,1.9
34,1541.2,706.2,284.5,36.8,192,6,764.7,521.3,83.6,0,74.3,0,155,38.3,38.3,336.8,103.8,103.8,88.2,61.6,88.2,0,0,61.6,586.1,586.1,356.3,356.3,171.1,171.1,58.7,58.7,0,0,0,0,356.3,356.3,171.1,171.1,58.7,58.7,0,0,0,0,0,0,2.6,0,1.7,0,0,3.6,0,2.5
35,2188.6,990.1,415.1,26.4,279.6,0,1085.4,769.5,113.5,0,100.8,0,226.4,48.9,48.9,486.3,145.3,145.3,127.6,85.6,127.6,0,0,85.6,833,833,509,509,242.5,242.5,81.5,81.5,0,0,0,0,509,509,242.5,242.5,81.5,81.5,0,0,0,0,0,0,3.7,0,2.3,0,0,5.1,0,3.5
36,497.4,313.3,110.9,8,67.3,0,230.2,243.8,14.6,0,12.9,0,61.6,15.4,15.4,117.6,46,46,31.5,27.1,31.5,0,0,27.1,263.9,263.9,161.2,161.2,76.8,76.8,25.8,25.8,0,0,0,0,161.2,161.2,76.8,76.8,25.8,25.8,0,0,0,0,0,0,1.2,0,0.7,0,0,1.6,0,1.1
37,7.6,16.7,1.3,5.2,0.7,0,2.4,8.5,0.2,0,0.1,0,0.7,1.2,1.2,1.3,1.8,1.8,0.3,1.6,0.3,0,0,1.6,10,10,5.6,5.6,3,3,1.4,1.4,0,0,0,0,5.6,5.6,3,3,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1
38,347.4,1737.4,1.7,1297.9,1.1,0,4.4,100.1,0.5,0,0.4,0,0.9,283.4,283.4,2,55.9,55.9,0.5,183.3,0.5,0,0,183.3,1623.5,1623.5,864.6,864.6,505.4,505.4,253.5,253.5,0,0,0,0,864.6,864.6,505.4,505.4,253.5,253.5,0,0,0,0,0,0,7.8,0,7.2,0,0,10.7,0,10.8
39,582.7,695.7,87.2,158.9,58.6,59.5,225.6,310.1,23.4,0,20.8,0,47.6,53.5,53.5,101,113.6,113.6,26.7,64.9,26.7,0,0,64.9,362.9,362.9,218.7,218.7,101.1,101.1,43,43,0,0,0,0,218.7,218.7,101.1,101.1,43,43,0,0,0,0,0,0,1.6,0,1.2,0,0,2.1,0,1.8
40,2482.9,2360.2,439.6,317.7,301.8,131,1063.3,1387.3,81.5,0,72.4,0,243.9,153.2,153.2,511.9,371.1,371.1,132.5,213,132.5,0,0,213,1417.6,1417.6,884.8,884.8,386.6,386.6,146.2,146.2,0,0,0,0,884.8,884.8,386.6,386.6,146.2,146.2,0,0,0,0,0,0,6,0,4.2,0,0,8.2,0,6.2
41,1648,2553.6,135.9,331.7,102.8,745.1,370.2,490.9,28.1,0,25,0,75.5,256.8,256.8,176.8,729.1,729.1,43.2,242.9,43.2,0,0,242.9,767.9,767.9,460.8,460.8,214.6,214.6,92.5,92.5,0,0,0,0,460.8,460.8,214.6,214.6,92.5,92.5,0,0,0,0,0,0,3.3,0,2.6,0,0,4.6,0,4
42,677.7,449.1,95.8,99.2,77.5,0,339.4,267.9,43.9,0,39,0,52.1,28.6,28.6,140.1,53.5,53.5,33.7,41,33.7,0,0,41,304.1,304.1,176.7,176.7,90.9,90.9,36.6,36.6,0,0,0,0,176.7,176.7,90.9,90.9,36.6,36.6,0,0,0,0,0,0,1.4,0,1,0,0,1.9,0,1.6
43,1920.4,985.6,309.3,108.6,221.9,0,968.8,692.1,124.6,0,110.8,0,167.2,51.1,51.1,400.2,133.9,133.9,101.9,87.2,101.9,0,0,87.2,667.1,667.1,398.9,398.9,196.4,196.4,71.7,71.7,0,0,0,0,398.9,398.9,196.4,196.4,71.7,71.7,0,0,0,0,0,0,3,0,2,0,0,4.2,0,3.1
44,1067.7,442.3,195.7,12,131.7,0,538.7,343.6,60.8,0,54,0,106.3,21.9,21.9,232.7,64.9,64.9,61.1,38.2,61.1,0,0,38.2,371.9,371.9,227.2,227.2,108.3,108.3,36.4,36.4,0,0,0,0,227.2,227.2,108.3,108.3,36.4,36.4,0,0,0,0,0,0,1.7,0,1,0,0,2.3,0,1.6
45,479.1,230.4,84,36.2,57.4,0,240.6,151.4,28.8,0,25.6,0,45.5,14.2,14.2,102.3,28.7,28.7,26.6,20.7,26.6,0,0,20.7,192.7,192.7,114.8,114.8,56.8,56.8,21,21,0,0,0,0,114.8,114.8,56.8,56.8,21,21,0,0,0,0,0,0,0.9,0,0.6,0,0,1.2,0,0.9
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,45.8,15.8,7.4,0.8,5.3,0,24,11.9,3.2,0,2.8,0,4,0.8,0.8,9.7,2.2,2.2,2.5,1.4,2.5,0,0,1.4,12.9,12.9,7.9,7.9,3.8,3.8,1.3,1.3,0,0,0,0,7.9,7.9,3.8,3.8,1.3,1.3,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1
49,410.5,835.1,0,81.3,0,343.3,0,0,0,0,0,0,0,111.6,111.6,0,298.9,298.9,0,81.2,0,0,0,81.2,118,118,62.8,62.8,36.7,36.7,18.4,18.4,0,0,0,0,62.8,62.8,36.7,36.7,18.4,18.4,0,0,0,0,0,0,0.6,0,0.5,0,0,0.8,0,0.8
50,149.8,745.9,4.8,233.3,3.3,0,13.3,387,1.5,0,1.3,0,2.6,52.4,52.4,5.7,73.2,73.2,1.5,69.7,1.5,0,0,69.7,291.7,291.7,156,156,90.6,90.6,45,45,0,0,0,0,156,156,90.6,90.6,45,45,0,0,0,0,0,0,1.4,0,1.3,0,0,1.9,0,1.9
51,93.4,129.9,9.5,62.4,7.5,0,37.6,38.7,5.3,0,4.7,0,5.1,17.2,17.2,13.8,11.6,11.6,3.5,12.8,3.5,0,0,12.8,92,92,50.2,50.2,28.3,28.3,13.4,13.4,0,0,0,0,50.2,50.2,28.3,28.3,13.4,13.4,0,0,0,0,0,0,0.4,0,0.4,0,0,0.6,0,0.6
52,1138.2,5048.6,57,2060.8,41.5,0,147.3,2117.1,11.5,0,10.2,0,31.7,402,402,70.2,468.7,468.7,17.7,485.2,17.7,0,0,485.2,2718.3,2718.3,1459,1459,843.3,843.3,416,416,0,0,0,0,1459,1459,843.3,843.3,416,416,0,0,0,0,0,0,13,0,11.9,0,0,17.9,0,17.8
53,3501.4,7096.3,287.5,1411.2,215.6,1137.5,819.1,2361.2,79.5,0,70.6,157.2,158.7,616.1,616.1,370.5,1413.1,1413.1,92.4,654.1,92.4,0,0,654.1,2371.3,2371.3,1392.4,1392.4,671.3,671.3,307.6,307.6,0,0,0,0,1392.4,1392.4,671.3,671.3,307.6,307.6,0,0,0,0,0,0,10.4,0,8.8,0,0,14.2,0,13.1
54,1684.6,3087.8,212.1,703.7,150.6,192.3,540.6,1494.4,44.4,0,39.4,0,117.5,240.1,240.1,255.2,457.3,457.3,65.2,286.7,65.2,0,0,286.7,1331.3,1331.3,792.5,792.5,373.9,373.9,165,165,0,0,0,0,792.5,792.5,373.9,373.9,165,165,0,0,0,0,0,0,5.8,0,4.7,0,0,7.9,0,7
55,1323.4,3102.6,212,267.7,154.8,0,584.3,1086.5,55.8,0,49.6,1481.6,116.9,84.5,84.5,265.3,182.3,182.3,67.1,145.1,67.1,0,0,145.1,790.1,790.1,459.1,459.1,236.1,236.1,94.8,94.8,0,0,0,0,459.1,459.1,236.1,236.1,94.8,94.8,0,0,0,0,0,0,3.6,0,2.7,0,0,5,0,4
56,223.7,113.6,46.5,3.2,29.3,0,107.6,88.2,9.6,0,8.5,0,25.4,5.6,5.6,49.9,16.6,16.6,13.6,9.8,13.6,0,0,9.8,95.5,95.5,58.3,58.3,27.8,27.8,9.3,9.3,0,0,0,0,58.3,58.3,27.8,27.8,9.3,9.3,0,0,0,0,0,0,0.4,0,0.3,0,0,0.6,0,0.4
57,444.2,268.2,98.7,7.2,59.3,0,205.8,208.4,14.7,0,13.1,0,54.6,13.3,13.3,100.9,39.3,39.3,27.9,23.2,27.9,0,0,23.2,225.6,225.6,137.8,137.8,65.7,65.7,22.1,22.1,0,0,0,0,137.8,137.8,65.7,65.7,22.1,22.1,0,0,0,0,0,0,1,0,0.6,0,0,1.4,0,0.9
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1641.5,741.1,299.2,20,211.3,0,819.5,575.7,88,0,78.2,0,163.7,36.7,36.7,365.4,108.7,108.7,94,64.1,94,0,0,64.1,623.2,623.2,380.8,380.8,181.5,181.5,61,61,0,0,0,0,380.8,380.8,181.5,181.5,61,61,0,0,0,0,0,0,2.8,0,1.7,0,0,3.8,0,2.6
62,1870.3,756.7,305.9,36.3,224.7,6,962.7,563.1,119.5,0,106.2,0,166.3,39.5,39.5,400.3,111.8,111.8,101.3,65.9,101.3,0,0,65.9,613.6,613.6,373.2,373.2,179.1,179.1,61.3,61.3,0,0,0,0,373.2,373.2,179.1,179.1,61.3,61.3,0,0,0,0,0,0,2.8,0,1.8,0,0,3.8,0,2.6
63,345.9,3166.2,31.3,235.1,23.3,0,104.9,677.1,14.2,0,12.6,2094.2,16.9,55.7,55.7,42.1,104,104,10.6,97.2,10.6,0,0,97.2,324.8,324.8,188.1,188.1,92.7,92.7,44,44,0,0,0,0,188.1,188.1,92.7,92.7,44,44,0,0,0,0,0,0,1.4,0,1.3,0,0,2,0,1.9
64,2259,1537,321.8,120.1,233.7,257.4,957.8,626.8,112.8,0,100.3,0,175.5,165.7,165.7,412.3,366.9,366.9,104.4,141.4,104.4,0,0,141.4,783.2,783.2,468,468,230.7,230.7,84.5,84.5,0,0,0,0,468,468,230.7,230.7,84.5,84.5,0,0,0,0,0,0,3.6,0,2.4,0,0,4.9,0,3.6
