coefficient_name,tour_mode,0,1,2,3,4,5
bike_ASC_auto_sufficient_othmaint,bike,-2.8083024,-2.929935937,-3.922085431,-4.447092376,-4.788375232,-5.035867086
bike_ASC_auto_sufficient_school,bike,-2.1134686,-2.235102137,-3.227251631,-3.752258576,-4.093541432,-4.341033286
bike_ASC_auto_sufficient_shopping,bike,-2.5662103,-2.687843837,-3.679993331,-4.205000276,-4.546283132,-4.793774986
bike_ASC_auto_sufficient_social,bike,-1.368071,-1.489704537,-2.481854031,-3.006860976,-3.348143832,-3.595635686
bike_ASC_auto_sufficient_univ,bike,-1.9397832,-2.061416737,-3.053566231,-3.578573176,-3.919856032,-4.167347886
bike_ASC_auto_sufficient_work,bike,-1.5800232,-1.701656737,-2.693806231,-3.218813176,-3.560096032,-3.807587886
bike_ASC_auto_sufficient_atwork,bike,15.72017,15.59853646,14.60638697,14.08138002,13.74009717,13.49260531
sr2_ASC_no_auto_all,sr2,0,0.499241649,0.504907629,0.314525572,0.237236467,0.136783398
sr2_ASC_auto_deficient_eatout,sr2,0.5882345,1.087476149,1.093142129,0.902760072,0.825470967,0.725017898
sr2_ASC_auto_deficient_escort,sr2,0,0.499241649,0.504907629,0.314525572,0.237236467,0.136783398
sr2_ASC_auto_deficient_othdiscr,sr2,0.6601513,1.159392949,1.165058929,0.974676872,0.897387767,0.796934698
sr2_ASC_auto_deficient_othmaint,sr2,0.2621527,0.761394349,0.767060329,0.576678272,0.499389167,0.398936098
sr2_ASC_auto_deficient_school,sr2,0.12474365,0.623985299,0.629651279,0.439269222,0.361980117,0.261527048
sr2_ASC_auto_deficient_shopping,sr2,0.24409756,0.743339209,0.749005189,0.558623132,0.481334027,0.380880958
sr2_ASC_auto_deficient_social,sr2,1.8558528,2.355094449,2.360760429,2.170378372,2.093089267,1.992636198
sr2_ASC_auto_deficient_univ,sr2,-1.6922346,-1.192992951,-1.187326971,-1.377709028,-1.454998133,-1.555451202
sr2_ASC_auto_deficient_work,sr2,-0.33803123,0.161210419,0.166876399,-0.023505658,-0.100794763,-0.201247832
sr2_ASC_auto_deficient_atwork,sr2,-2.1102421,-1.611000451,-1.605334471,-1.795716528,-1.873005633,-1.973458702
sr2_ASC_auto_sufficient_eatout,sr2,0.86280555,1.362047199,1.367713179,1.177331122,1.100042017,0.999588948
