purpose,mode,asim,wfrc
all,all,7381536,8737729
all,auto,5893606,7905927
all,nonmotor,1008530,732250
all,transit,479400,99551
hbo,all,3695365,4641724
hbo,auto,2900838,4094887
hbo,nonmotor,587030,509491
hbo,transit,207497,37346
hbw,all,1759663,1711578
hbw,auto,1376863,1586413
hbw,nonmotor,205597,76413
hbw,transit,177203,48752
nhb,all,1926508,2384427
nhb,auto,1615905,2224628
nhb,nonmotor,215903,146346
nhb,transit,94700,13453
