purpose,mode,asim,wfrc,error,to_calibrate
all,all,7381536,8737729,-0.155,FALSE
all,auto,5893606,7905927,-0.255,FALSE
all,nonmotor,1008530,732250,0.377,TRUE
all,transit,479400,99551,3.82,TRUE
hbo,all,3695365,4641724,-0.204,FALSE
hbo,auto,2900838,4094887,-0.292,FALSE
hbo,nonmotor,587030,509491,0.152,FALSE
hbo,transit,207497,37346,4.56,FALSE
hbw,all,1759663,1711578,0.0281,FALSE
hbw,auto,1376863,1586413,-0.132,FALSE
hbw,nonmotor,205597,76413,1.69,FALSE
hbw,transit,177203,48752,2.63,FALSE
nhb,all,1926508,2384427,-0.192,FALSE
nhb,auto,1615905,2224628,-0.274,FALSE
nhb,nonmotor,215903,146346,0.475,FALSE
nhb,transit,94700,13453,6.04,FALSE
